2024-03-11 15:53:27,676 | INFO | hilo : 
+==============================================================+
|                                                              |
| ██████╗  █████╗ ██████╗ ██╗         ██╗      █████╗ ██████╗  |
| ██╔══██╗██╔══██╗██╔══██╗██║         ██║     ██╔══██╗██╔══██╗ |
| ██║  ██║███████║██║  ██║██║         ██║     ███████║██████╔╝ |
| ██║  ██║██╔══██║██║  ██║██║         ██║     ██╔══██║██╔══██╗ |
| ██████╔╝██║  ██║██████╔╝███████╗    ███████╗██║  ██║██████╔╝ |
| ╚═════╝ ╚═╝  ╚═╝╚═════╝ ╚══════╝    ╚══════╝╚═╝  ╚═╝╚═════╝  |
+==============================================================+
|             Hi-Lo Resolution Image Classification            |
|             -------------------------------------            |
|                       Gabriel C. Trahan                      |
|                          Sahan Ahmad                         |
|                       MD  Aminual Islam                      |
+==============================================================+
2024-03-11 15:53:29,287 | INFO | hilo.dataset-accessor : Fetching dataset: imagenet
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Initializing transform.
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Verifying/downloading train data.
2024-03-11 15:53:31,951 | INFO | hilo.imagenet-dataset : Verifying/downloading test data.
2024-03-11 15:53:31,972 | INFO | hilo.imagenet-dataset : Creating train data loader.
2024-03-11 17:09:43,695 | INFO | hilo : Epoch  59/200 | Accuracy:   0.0000 | Loss:   5.2996
2024-03-11 17:11:02,816 | INFO | hilo : Epoch  60/200 | Accuracy:   0.0000 | Loss:   5.3000
2024-03-11 17:12:22,012 | INFO | hilo : Epoch  61/200 | Accuracy:   0.0000 | Loss:   5.2987
2024-03-11 17:13:41,445 | INFO | hilo : Epoch  62/200 | Accuracy:   0.0000 | Loss:   5.2991
2024-03-11 17:15:00,808 | INFO | hilo : Epoch  63/200 | Accuracy:   0.0000 | Loss:   5.3004
2024-03-11 17:16:20,360 | INFO | hilo : Epoch  64/200 | Accuracy:   0.0000 | Loss:   5.3000
2024-03-11 17:17:39,894 | INFO | hilo : Epoch  65/200 | Accuracy:   0.0000 | Loss:   5.2972
2024-03-11 17:18:59,503 | INFO | hilo : Epoch  66/200 | Accuracy:   0.0000 | Loss:   5.2989
2024-03-11 17:20:19,211 | INFO | hilo : Epoch  67/200 | Accuracy:   0.0000 | Loss:   5.2996
2024-03-11 17:21:39,021 | INFO | hilo : Epoch  68/200 | Accuracy:   0.0000 | Loss:   5.2992
2024-03-11 17:22:58,752 | INFO | hilo : Epoch  69/200 | Accuracy:   0.0000 | Loss:   5.2997
2024-03-11 17:24:18,847 | INFO | hilo : Epoch  70/200 | Accuracy:   0.0000 | Loss:   5.2989
2024-03-11 17:25:38,912 | INFO | hilo : Epoch  71/200 | Accuracy:   0.0000 | Loss:   5.2995
2024-03-11 17:26:58,866 | INFO | hilo : Epoch  72/200 | Accuracy:   0.0000 | Loss:   5.2982
2024-03-11 17:28:18,869 | INFO | hilo : Epoch  73/200 | Accuracy:   0.0000 | Loss:   5.2987
2024-03-11 17:29:39,091 | INFO | hilo : Epoch  74/200 | Accuracy:   0.0000 | Loss:   5.2988
2024-03-11 17:30:59,386 | INFO | hilo : Epoch  75/200 | Accuracy:   0.0000 | Loss:   5.2990
2024-03-11 17:32:19,665 | INFO | hilo : Epoch  76/200 | Accuracy:   0.0000 | Loss:   5.2987
2024-03-11 17:33:39,967 | INFO | hilo : Epoch  77/200 | Accuracy:   0.0000 | Loss:   5.2995
2024-03-11 17:35:00,218 | INFO | hilo : Epoch  78/200 | Accuracy:   0.0000 | Loss:   5.2997
2024-03-11 17:36:21,050 | INFO | hilo : Epoch  79/200 | Accuracy:   0.0000 | Loss:   5.2993
2024-03-11 17:37:41,680 | INFO | hilo : Epoch  80/200 | Accuracy:   0.0000 | Loss:   5.3004
2024-03-11 17:39:02,307 | INFO | hilo : Epoch  81/200 | Accuracy:   0.0000 | Loss:   5.2987
2024-03-11 17:40:23,071 | INFO | hilo : Epoch  82/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 17:41:43,765 | INFO | hilo : Epoch  83/200 | Accuracy:   0.0000 | Loss:   5.2989
