MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST TRAIN ACCURACY,AT EPOCH,TEST ACCURACY
normal,mnist,gaussian,3,--,--,--
normal,mnist,gaussian,4,--,--,--
normal,mnist,gaussian,5,--,--,--
normal,mnist,gaussian,6,--,--,--
normal,mnist,gaussian,7,--,--,--
normal,mnist,gaussian,8,--,--,--
normal,mnist,gaussian,9,--,--,--
normal,mnist,gaussian,10,--,--,--
normal,mnist,gaussian,11,--,--,--
normal,mnist,gaussian,12,--,--,--
normal,mnist,gaussian,13,--,--,--
normal,mnist,gaussian,14,--,--,--
normal,mnist,gumbel,1,--,--,--
normal,mnist,gumbel,2,--,--,--
normal,mnist,gumbel,3,--,--,--
normal,mnist,gumbel,4,--,--,--
normal,mnist,gumbel,5,--,--,--
normal,mnist,gumbel,6,--,--,--
normal,mnist,gumbel,7,--,--,--
normal,mnist,gumbel,8,--,--,--
normal,mnist,gumbel,9,--,--,--
normal,mnist,gumbel,10,--,--,--
normal,mnist,gumbel,11,--,--,--
normal,mnist,gumbel,12,--,--,--
normal,mnist,gumbel,13,--,--,--
normal,mnist,gumbel,14,--,--,--
normal,mnist,laplace,1,--,--,--
normal,mnist,laplace,2,--,--,--
normal,mnist,laplace,3,--,--,--
normal,mnist,laplace,4,--,--,--
normal,mnist,laplace,5,--,--,--
normal,mnist,laplace,6,--,--,--
normal,mnist,laplace,7,--,--,--
normal,mnist,laplace,8,--,--,--
normal,mnist,laplace,9,--,--,--
normal,mnist,laplace,10,--,--,--
normal,mnist,laplace,11,--,--,--
normal,mnist,laplace,12,--,--,--
normal,mnist,laplace,13,--,--,--
normal,mnist,laplace,14,--,--,--
normal,mnist,poisson,1,--,--,--
normal,mnist,poisson,2,--,--,--
normal,mnist,poisson,3,--,--,--
normal,mnist,poisson,4,--,--,--
normal,mnist,poisson,5,--,--,--
normal,mnist,poisson,6,--,--,--
normal,mnist,poisson,7,--,--,--
normal,mnist,poisson,8,--,--,--
normal,mnist,poisson,9,--,--,--
normal,mnist,poisson,10,--,--,--
normal,mnist,poisson,11,--,--,--
normal,mnist,poisson,12,--,--,--
normal,mnist,poisson,13,--,--,--
normal,mnist,poisson,14,--,--,--
resnet,cifar10,none,--,--,--,--
resnet,cifar10,cauchy,1,98.4375,161,87.37
resnet,cifar10,cauchy,2,96.875,131,88.66
resnet,cifar10,cauchy,3,96.875,62,85.84
resnet,cifar10,cauchy,4,96.875,75,86.94
resnet,cifar10,cauchy,5,--,--,--
resnet,cifar10,cauchy,6,--,--,--
resnet,cifar10,cauchy,7,--,--,--
resnet,cifar10,cauchy,8,--,--,--
resnet,cifar10,cauchy,9,--,--,--
resnet,cifar10,cauchy,10,--,--,--
resnet,cifar10,cauchy,11,--,--,--
resnet,cifar10,cauchy,12,--,--,--
resnet,cifar10,cauchy,13,--,--,--
resnet,cifar10,cauchy,14,--,--,--
resnet,cifar10,gaussian,1,--,--,--
resnet,cifar10,gaussian,2,--,--,--
resnet,cifar10,gaussian,3,--,--,--
resnet,cifar10,gaussian,4,--,--,--
resnet,cifar10,gaussian,5,--,--,--
resnet,cifar10,gaussian,6,--,--,--
resnet,cifar10,gaussian,7,--,--,--
resnet,cifar10,gaussian,8,--,--,--
resnet,cifar10,gaussian,9,--,--,--
resnet,cifar10,gaussian,10,--,--,--
resnet,cifar10,gaussian,11,--,--,--
resnet,cifar10,gaussian,12,--,--,--
resnet,cifar10,gaussian,13,--,--,--
resnet,cifar10,gaussian,14,--,--,--
resnet,cifar10,gumbel,1,--,--,--
resnet,cifar10,gumbel,2,--,--,--
resnet,cifar10,gumbel,3,--,--,--
resnet,cifar10,gumbel,4,--,--,--
resnet,cifar10,gumbel,5,--,--,--
resnet,cifar10,gumbel,6,--,--,--
resnet,cifar10,gumbel,7,--,--,--
resnet,cifar10,gumbel,8,--,--,--
resnet,cifar10,gumbel,9,--,--,--
resnet,cifar10,gumbel,10,--,--,--
resnet,cifar10,gumbel,11,--,--,--
resnet,cifar10,gumbel,12,--,--,--
resnet,cifar10,gumbel,13,--,--,--
resnet,cifar10,gumbel,14,--,--,--
resnet,cifar10,laplace,1,--,--,--
resnet,cifar10,laplace,2,--,--,--
resnet,cifar10,laplace,3,--,--,--
resnet,cifar10,laplace,4,--,--,--
resnet,cifar10,laplace,5,--,--,--
resnet,cifar10,laplace,6,--,--,--
resnet,cifar10,laplace,7,--,--,--
resnet,cifar10,laplace,8,--,--,--
resnet,cifar10,laplace,9,--,--,--
resnet,cifar10,laplace,10,--,--,--
resnet,cifar10,laplace,11,--,--,--
resnet,cifar10,laplace,12,--,--,--
resnet,cifar10,laplace,13,--,--,--
resnet,cifar10,laplace,14,--,--,--
resnet,cifar10,poisson,1,--,--,--
resnet,cifar10,poisson,2,--,--,--
resnet,cifar10,poisson,3,--,--,--
resnet,cifar10,poisson,4,--,--,--
resnet,cifar10,poisson,5,--,--,--
resnet,cifar10,poisson,6,--,--,--
resnet,cifar10,poisson,7,--,--,--
resnet,cifar10,poisson,8,--,--,--
resnet,cifar10,poisson,9,--,--,--
resnet,cifar10,poisson,10,--,--,--
resnet,cifar10,poisson,11,--,--,--
resnet,cifar10,poisson,12,--,--,--
resnet,cifar10,poisson,13,--,--,--
resnet,cifar10,poisson,14,--,--,--
resnet,cifar100,none,--,--,--,--
resnet,cifar100,cauchy,1,--,--,--
resnet,cifar100,cauchy,2,--,--,--
resnet,cifar100,cauchy,3,--,--,--
resnet,cifar100,cauchy,4,--,--,--
resnet,cifar100,cauchy,5,--,--,--
resnet,cifar100,cauchy,6,--,--,--
resnet,cifar100,cauchy,7,--,--,--
resnet,cifar100,cauchy,8,--,--,--
resnet,cifar100,cauchy,9,--,--,--
resnet,cifar100,cauchy,10,--,--,--
resnet,cifar100,cauchy,11,--,--,--
resnet,cifar100,cauchy,12,--,--,--
resnet,cifar100,cauchy,13,--,--,--
resnet,cifar100,cauchy,14,--,--,--
resnet,cifar100,gaussian,1,--,--,--
resnet,cifar100,gaussian,2,--,--,--
resnet,cifar100,gaussian,3,--,--,--
resnet,cifar100,gaussian,4,--,--,--
resnet,cifar100,gaussian,5,--,--,--
resnet,cifar100,gaussian,6,--,--,--
resnet,cifar100,gaussian,7,--,--,--
