MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST ACCURACY,EPOCH,TEST ACCURACY
resnet,cifar100,poisson,14,--,--,--
resnet,mnist,none,--,--,--,--
resnet,mnist,cauchy,1,--,--,--
resnet,mnist,cauchy,2,--,--,--
resnet,mnist,cauchy,3,--,--,--
resnet,mnist,cauchy,4,--,--,--
resnet,mnist,cauchy,5,--,--,--
resnet,mnist,cauchy,6,--,--,--
resnet,mnist,cauchy,7,--,--,--
resnet,mnist,cauchy,8,--,--,--
resnet,mnist,cauchy,9,--,--,--
resnet,mnist,cauchy,10,--,--,--
resnet,mnist,cauchy,11,--,--,--
resnet,mnist,cauchy,12,--,--,--
resnet,mnist,cauchy,13,--,--,--
resnet,mnist,cauchy,14,--,--,--
resnet,mnist,gaussian,1,--,--,--
resnet,mnist,gaussian,2,--,--,--
resnet,mnist,gaussian,3,--,--,--
resnet,mnist,gaussian,4,--,--,--
resnet,mnist,gaussian,5,--,--,--
resnet,mnist,gaussian,6,--,--,--
resnet,mnist,gaussian,7,--,--,--
resnet,mnist,gaussian,8,--,--,--
resnet,mnist,gaussian,9,--,--,--
resnet,mnist,gaussian,10,--,--,--
resnet,mnist,gaussian,11,--,--,--
resnet,mnist,gaussian,12,--,--,--
resnet,mnist,gaussian,13,--,--,--
resnet,mnist,gaussian,14,--,--,--
resnet,mnist,gumbel,1,--,--,--
resnet,mnist,gumbel,2,--,--,--
resnet,mnist,gumbel,3,--,--,--
resnet,mnist,gumbel,4,--,--,--
resnet,mnist,gumbel,5,--,--,--
resnet,mnist,gumbel,6,--,--,--
resnet,mnist,gumbel,7,--,--,--
resnet,mnist,gumbel,8,--,--,--
resnet,mnist,gumbel,9,--,--,--
resnet,mnist,gumbel,10,--,--,--
resnet,mnist,gumbel,11,--,--,--
resnet,mnist,gumbel,12,--,--,--
resnet,mnist,gumbel,13,--,--,--
resnet,mnist,gumbel,14,--,--,--
resnet,mnist,laplace,1,--,--,--
resnet,mnist,laplace,2,--,--,--
resnet,mnist,laplace,3,--,--,--
resnet,mnist,laplace,4,--,--,--
resnet,mnist,laplace,5,--,--,--
resnet,mnist,laplace,6,--,--,--
resnet,mnist,laplace,7,--,--,--
resnet,mnist,laplace,8,--,--,--
resnet,mnist,laplace,9,--,--,--
resnet,mnist,laplace,10,--,--,--
resnet,mnist,laplace,11,--,--,--
resnet,mnist,laplace,12,--,--,--
resnet,mnist,laplace,13,--,--,--
resnet,mnist,laplace,14,--,--,--
resnet,mnist,poisson,1,--,--,--
resnet,mnist,poisson,2,--,--,--
resnet,mnist,poisson,3,--,--,--
resnet,mnist,poisson,4,--,--,--
resnet,mnist,poisson,5,--,--,--
resnet,mnist,poisson,6,--,--,--
resnet,mnist,poisson,7,--,--,--
resnet,mnist,poisson,8,--,--,--
resnet,mnist,poisson,9,--,--,--
resnet,mnist,poisson,10,--,--,--
resnet,mnist,poisson,11,--,--,--
resnet,mnist,poisson,12,--,--,--
resnet,mnist,poisson,13,--,--,--
resnet,mnist,poisson,14,--,--,--
resnet,svhn,none,--,--,--,--
resnet,svhn,cauchy,1,--,--,--
resnet,svhn,cauchy,2,--,--,--
resnet,svhn,cauchy,3,--,--,--
resnet,svhn,cauchy,4,--,--,--
resnet,svhn,cauchy,5,--,--,--
resnet,svhn,cauchy,6,--,--,--
resnet,svhn,cauchy,7,--,--,--
resnet,svhn,cauchy,8,--,--,--
resnet,svhn,cauchy,9,--,--,--
resnet,svhn,cauchy,10,--,--,--
resnet,svhn,cauchy,11,--,--,--
resnet,svhn,cauchy,12,--,--,--
resnet,svhn,cauchy,13,--,--,--
resnet,svhn,cauchy,14,--,--,--
resnet,svhn,gaussian,1,--,--,--
resnet,svhn,gaussian,2,--,--,--
resnet,svhn,gaussian,3,--,--,--
resnet,svhn,gaussian,4,--,--,--
resnet,svhn,gaussian,5,--,--,--
resnet,svhn,gaussian,6,--,--,--
resnet,svhn,gaussian,7,--,--,--
resnet,svhn,gaussian,8,--,--,--
resnet,svhn,gaussian,9,--,--,--
resnet,svhn,gaussian,10,--,--,--
resnet,svhn,gaussian,11,--,--,--
resnet,svhn,gaussian,12,--,--,--
resnet,svhn,gaussian,13,--,--,--
resnet,svhn,gaussian,14,--,--,--
resnet,svhn,gumbel,1,--,--,--
resnet,svhn,gumbel,2,--,--,--
resnet,svhn,gumbel,3,--,--,--
resnet,svhn,gumbel,4,--,--,--
resnet,svhn,gumbel,5,--,--,--
resnet,svhn,gumbel,6,--,--,--
resnet,svhn,gumbel,7,--,--,--
resnet,svhn,gumbel,8,--,--,--
resnet,svhn,gumbel,9,--,--,--
resnet,svhn,gumbel,10,--,--,--
resnet,svhn,gumbel,11,--,--,--
resnet,svhn,gumbel,12,--,--,--
resnet,svhn,gumbel,13,--,--,--
